path,bytes,physical_lines,code_lines,classification,is_rust,is_test,is_generated,has_embedded_tests
.github/workflows/zip-gap-platform-validation.yml,1824,61,48,text,false,false,false,false
AGENTS.md,27337,481,406,text,false,false,false,false
Cargo.toml,11994,294,289,text,false,false,false,false
THIRD_PARTY_NOTICES.md,2445,68,50,text,false,false,false,false
crates/arcweft/Cargo.toml,645,26,23,text,false,false,false,false
crates/arcweft/src/lib.rs,845,49,33,production,true,false,false,false
crates/arcweft-adapter-context/Cargo.toml,431,21,18,text,false,false,false,false
crates/arcweft-adapter-context/src/callable.rs,16900,543,488,production,true,false,false,true
crates/arcweft-adapter-context/src/codec.rs,24304,691,628,production,true,false,false,true
crates/arcweft-adapter-context/src/lib.rs,393,11,5,production,true,false,false,false
crates/arcweft-adapter-context/src/manifest/nominal.rs,12370,376,303,production,true,false,false,true
crates/arcweft-adapter-context/src/manifest/registry.rs,2087,74,52,production,true,false,false,false
crates/arcweft-adapter-context/src/manifest/tests.rs,5182,153,141,test,true,true,false,false
crates/arcweft-adapter-context/src/manifest.rs,30092,905,716,production,true,false,false,false
crates/arcweft-adapter-context/src/standard.rs,15884,450,404,production,true,false,false,true
crates/arcweft-adapter-context/src/symbol.rs,5300,163,132,production,true,false,false,true
crates/arcweft-adapter-context/tests/public_symbol_api.rs,713,20,17,test,true,true,false,false
crates/arcweft-adapter-desktop/Cargo.toml,564,22,19,text,false,false,false,false
crates/arcweft-adapter-desktop/src/adapter.rs,15264,432,404,production,true,false,false,false
crates/arcweft-adapter-desktop/src/codec.rs,10597,294,276,production,true,false,false,true
crates/arcweft-adapter-desktop/src/lib.rs,1850,32,25,production,true,false,false,false
crates/arcweft-adapter-desktop/src/manifest.rs,21653,592,543,production,true,false,false,true
crates/arcweft-adapter-desktop/tests/native_integration.rs,2114,54,50,test,true,true,false,false
crates/arcweft-adapter-metadata/Cargo.toml,366,17,15,text,false,false,false,false
crates/arcweft-adapter-metadata/src/codec.rs,9599,277,249,production,true,false,false,false
crates/arcweft-adapter-metadata/src/lib.rs,874,19,15,production,true,false,false,false
crates/arcweft-adapter-metadata/src/model.rs,7827,266,231,production,true,false,false,false
crates/arcweft-adapter-metadata/src/strict_json.rs,15204,503,440,production,true,false,false,true
crates/arcweft-adapter-metadata/tests/codec.rs,8681,231,213,test,true,true,false,false
crates/arcweft-adapter-metadata/tests/fixtures/truck-rust.adapter.json,1970,79,79,test,false,true,false,false
crates/arcweft-adapter-sema/Cargo.toml,535,23,20,text,false,false,false,false
crates/arcweft-adapter-sema/src/lib.rs,347,9,2,production,true,false,false,false
crates/arcweft-adapter-sema/src/registration/input/digest.rs,23138,648,599,production,true,false,false,true
crates/arcweft-adapter-sema/src/registration/input/source.rs,42039,1131,1079,production,true,false,false,false
crates/arcweft-adapter-sema/src/registration/input.rs,49037,1249,1201,production,true,false,false,false
crates/arcweft-adapter-sema/src/registration/tests.rs,22147,585,552,test,true,true,false,false
crates/arcweft-adapter-sema/src/registration.rs,10659,279,251,production,true,false,false,false
crates/arcweft-adt/Cargo.toml,210,13,11,text,false,false,false,false
crates/arcweft-adt/src/lib.rs,37428,1486,1052,production,true,false,false,true
crates/arcweft-agent-mcp/Cargo.toml,570,22,19,text,false,false,false,false
crates/arcweft-agent-mcp/src/lib.rs,396,13,6,production,true,false,false,false
crates/arcweft-agent-mcp/src/model.rs,4846,138,110,production,true,false,false,false
crates/arcweft-agent-mcp/src/repl_command.rs,7618,223,179,production,true,false,false,true
crates/arcweft-agent-mcp/src/resources.rs,11080,278,249,production,true,false,false,false
crates/arcweft-agent-mcp/src/tests.rs,45595,1275,1208,test,true,true,false,false
